articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-10-2014,3.99,3.99,mean,0,MATCH,NA
2-10-2014,4.34,4.34,mean,0,MATCH,NA
2-10-2014,1.32,1.32,sd,0,MATCH,NA
2-10-2014,1.25,1.25,sd,0,MATCH,NA
2-10-2014,3.54,3.54,mean,0,MATCH,NA
2-10-2014,3.82,3.82,mean,0,MATCH,NA
2-10-2014,1.01,1.01,sd,0,MATCH,NA
2-10-2014,0.89,0.89,sd,0,MATCH,NA
2-10-2014,2.88,2.88,t,0,MATCH,NA
2-10-2014,0.005,0.005,p,0,MATCH,NA
2-10-2014,3.1,3.1,t,0,MATCH,NA
2-10-2014,0.003,0.003,p,0,MATCH,NA
